timestamp,plate,yolo_conf,ocr_conf,frame_idx
2025-11-23 21:13:40,UKO6BN3L96,0.862,0.812,1
2025-11-23 21:13:40,UKO6BN3L96,0.839,0.670,2
2025-11-23 21:13:40,UKO6BN3L96,0.839,0.610,3
2025-11-23 21:13:40,UKO6BN3L96,0.852,0.738,4
2025-11-23 21:13:40,UKO6BN3L96,0.861,0.831,5
2025-11-23 21:13:40,UKO6BN3L96,0.861,0.787,6
2025-11-23 21:13:41,UKO6BN3L96,0.866,0.598,7
2025-11-23 21:13:41,UKO6BN3L96,0.860,0.635,8
2025-11-23 21:13:41,UKO6BN3L96,0.864,0.697,9
2025-11-23 21:13:41,UKO6BN3L96,0.850,0.567,10
2025-11-23 21:13:41,UKO6BN3L96,0.836,0.679,11
2025-11-23 21:13:41,UKO6BN3L96,0.850,0.515,12
2025-11-23 21:13:41,UKO6BN3L96,0.849,0.714,13
2025-11-23 21:13:41,UKO6BN3L96,0.840,0.791,14
2025-11-23 21:13:42,UKOGBN3L96,0.842,0.619,15
2025-11-23 21:13:42,UKO6BN3L96,0.848,0.592,18
2025-11-23 21:13:42,UKO6BN3L96,0.859,0.696,19
2025-11-23 21:13:42,UKO6BN3L96,0.860,0.531,21
2025-11-23 21:13:42,UKO6BN3L96,0.856,0.719,22
2025-11-23 21:13:43,UKO6BN3L96,0.863,0.511,24
2025-11-23 21:13:43,UKO6BN3L96,0.852,0.776,26
2025-11-23 21:13:43,UKO6BN3L96,0.838,0.795,27
2025-11-23 21:13:43,UKO6BN3L96,0.840,0.588,28
2025-11-23 21:13:43,UKO6BN3L96,0.843,0.593,29
2025-11-23 21:13:43,UKO6BN3L96,0.846,0.531,30
2025-11-23 21:13:44,UKO6BN3L96,0.843,0.826,31
2025-11-23 21:13:44,UKO6BN3L96,0.837,0.852,32
2025-11-23 21:13:44,UKO6BN3L96,0.853,0.596,33
2025-11-23 21:13:44,UKO6BN3L96,0.861,0.781,34
2025-11-23 21:13:44,UKOGBN3L96,0.847,0.681,35
2025-11-23 21:13:44,UKO6BN3L96,0.852,0.848,36
2025-11-23 21:13:45,UKO6BN3L96,0.838,0.848,37
2025-11-23 21:13:45,UKO6BN3L96,0.845,0.640,39
2025-11-23 21:13:45,UKO6BH3L96,0.845,0.586,40
2025-11-23 21:13:45,UKO6BN3L96,0.838,0.716,41
2025-11-23 21:13:45,UKO6BN3L96,0.816,0.588,42
2025-11-23 21:13:45,UKO6BN3L96,0.816,0.560,43
2025-11-23 21:13:45,UKOGBN3L96,0.831,0.572,44
2025-11-23 21:13:46,UKO6BH3L96,0.828,0.665,45
2025-11-23 21:13:46,UKO6BH3L96,0.830,0.623,46
2025-11-23 21:13:46,UKO6BN3L96,0.827,0.667,47
2025-11-23 21:13:46,UKO6BN3L96,0.839,0.510,48
2025-11-23 21:13:46,UKO6BN3L96,0.831,0.593,49
2025-11-23 21:13:46,UKO6BH3L96,0.842,0.536,50
2025-11-23 21:13:46,UKO6BH3L96,0.852,0.718,51
2025-11-23 21:13:47,UKO6BN3L96,0.859,0.611,53
2025-11-23 21:13:47,UKO6BH3L96,0.862,0.631,54
